City,Year,PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI
Ahmedabad,2015,36.12,95.68,11.56,15.85,7.21,13.62,6.08,190.0
Ahmedabad,2015,28.51,95.68,20.52,15.85,6.69,5.69,7.65,171.0
Ahmedabad,2015,31.59,95.68,20.42,15.85,6.99,9.23,7.9,168.0
Ahmedabad,2015,42.56,95.68,20.4,15.85,7.17,6.28,9.86,172.0
Ahmedabad,2015,48.12,95.68,20.3,15.85,7.14,6.77,12.78,173.0
Ahmedabad,2015,37.09,95.68,20.21,15.85,7.22,8.66,7.94,175.0
Ahmedabad,2015,33.4,95.68,20.09,15.85,7.4,9.95,8.39,179.0
Ahmedabad,2015,38.64,95.68,20.21,15.85,7.35,9.74,6.28,174.0
Ahmedabad,2015,40.49,95.68,20.23,15.85,7.48,8.92,21.51,176.0
Ahmedabad,2015,41.37,95.68,20.2,15.85,7.47,11.73,19.8,179.0
Ahmedabad,2015,44.56,95.68,20.06,15.85,7.49,11.23,22.77,175.0
Ahmedabad,2015,65.68,95.68,19.94,15.85,7.57,8.21,30.21,177.0
Ahmedabad,2015,33.34,95.68,20.27,15.85,7.3,6.41,32.95,175.0
Ahmedabad,2015,39.17,95.68,20.24,15.85,7.35,9.17,26.64,174.0
Ahmedabad,2015,34.0,95.68,20.1,15.85,7.41,9.64,17.17,179.0
Ahmedabad,2015,36.38,95.68,20.14,15.85,7.31,10.65,13.35,177.0
Ahmedabad,2015,38.35,95.68,20.16,15.85,7.41,9.33,18.59,180.0
Ahmedabad,2015,38.5,95.68,19.67,15.85,12.38,10.37,16.33,274.0
Ahmedabad,2015,39.61,95.68,14.84,15.85,17.31,10.76,5.38,310.0
Ahmedabad,2015,61.79,95.68,14.82,15.85,17.24,12.39,8.06,303.0
Ahmedabad,2015,43.22,95.68,14.82,15.85,17.17,11.68,37.87,302.0
Ahmedabad,2015,33.41,95.68,14.86,15.85,17.12,12.96,86.83,302.0
Ahmedabad,2015,36.9,95.68,14.85,15.85,17.08,4.73,54.01,302.0
Ahmedabad,2015,36.36,95.68,14.79,15.85,17.11,8.86,77.3,302.0
Ahmedabad,2015,32.64,95.68,14.84,15.85,17.01,7.05,62.31,302.0
Ahmedabad,2015,38.23,95.68,14.89,15.85,17.07,10.9,55.94,302.0
Ahmedabad,2015,39.86,95.68,14.83,15.85,16.98,10.02,96.83,301.0
Ahmedabad,2015,72.74,95.68,14.84,15.85,17.04,4.23,99.03,302.0
Ahmedabad,2015,43.2,95.68,14.86,15.85,17.05,5.96,59.99,302.0
Ahmedabad,2015,63.2,95.68,14.82,15.85,17.03,3.69,7.57,302.0
Ahmedabad,2015,64.73,95.68,14.82,15.85,17.01,6.45,12.13,302.0
Ahmedabad,2015,65.28,95.68,14.85,15.85,17.04,6.13,18.2,301.0
Ahmedabad,2015,67.86,95.68,14.87,15.85,16.97,8.87,16.53,302.0
Ahmedabad,2015,52.4,95.68,14.81,15.85,16.97,9.89,22.55,301.0
Ahmedabad,2015,33.33,95.68,14.89,15.85,16.95,6.88,33.58,302.0
